uid,sid
110,33
110,134
110,109
110,74
110,144
110,50
110,14
110,101
110,128
110,112
110,18
111,78
111,147
111,25
111,99
111,118
111,57
111,26
111,27
111,7
111,42
111,59
111,31
111,69
112,46
112,99
112,74
112,93
112,117
112,66
112,120
112,61
112,30
112,31
113,63
113,64
113,10
113,21
113,92
113,81
113,57
113,6
113,103
113,43
114,46
114,10
114,108
114,11
114,99
114,74
114,93
114,110
114,101
114,58
114,59
114,120
114,112
114,62
114,44
115,82
115,32
115,50
115,94
115,100
115,151
115,39
115,18
115,89
115,131
115,44
116,46
116,54
116,48
116,154
116,91
116,74
116,76
116,28
116,59
116,106
116,120
116,18
117,45
117,20
117,24
117,154
117,85
117,76
117,66
117,118
117,87
117,128
117,129
117,125
117,19
118,10
118,83
118,48
118,79
118,84
118,109
118,110
118,95
118,100
118,101
118,58
118,28
118,126
119,0
119,45
119,82
119,41
119,4
119,92
119,13
119,103
119,129
119,60
119,136
120,48
120,11
120,41
120,149
120,74
120,110
120,95
120,101
120,58
120,62
121,107
121,64
121,46
121,65
121,73
121,150
121,109
121,74
121,50
121,103
121,112
121,126
122,21
122,54
122,147
122,12
122,50
122,117
122,118
122,7
122,59
122,69
123,141
123,34
123,13
123,94
123,71
123,26
123,15
123,59
123,60
123,39
123,105
124,0
124,1
124,116
124,25
124,142
124,84
124,56
124,37
124,112
124,105
125,45
125,20
125,21
125,134
125,109
125,75
125,118
125,35
125,95
125,38
126,107
126,122
126,113
126,21
126,32
126,12
126,35
126,95
126,52
126,124
126,16
126,68
126,59
126,97
127,46
127,145
127,55
127,11
127,25
127,41
127,91
127,117
127,51
127,76
127,66
127,118
127,94
127,52
127,87
127,15
127,155
127,8
127,28
127,103
127,53
127,18
128,20
128,21
128,41
128,12
128,52
128,7
128,28
128,18
128,19
128,69
129,0
129,90
129,156
129,122
129,137
129,22
129,91
129,4
129,74
129,80
129,81
129,71
129,100
129,67
129,101
129,59
129,104
129,43
129,120
129,112
129,39
129,61
129,62
129,44
130,98
130,109
130,110
130,95
130,100
130,101
130,68
130,58
130,112
130,126
131,107
131,0
131,45
131,153
131,41
131,92
131,99
131,85
131,35
131,52
131,101
131,114
131,28
131,129
131,19
131,88
131,44
132,63
132,45
132,64
132,78
132,46
132,65
132,10
132,90
132,145
132,73
132,113
132,137
132,21
132,32
132,83
132,54
132,1
132,2
132,108
132,116
132,48
132,40
132,24
132,11
132,139
132,79
132,142
132,150
132,91
132,5
132,84
132,109
132,56
132,102
132,34
132,85
132,144
132,12
132,93
132,51
132,76
132,13
132,110
132,118
132,35
132,57
132,36
132,6
132,95
132,52
132,100
132,67
132,124
132,15
132,37
132,7
132,101
132,151
132,128
132,16
132,38
132,68
132,8
132,28
132,103
132,106
132,43
132,120
132,9
132,112
132,39
132,29
132,125
132,17
132,18
132,105
132,126
132,96
132,136
132,19
132,62
132,115
132,97
132,31
132,69
132,44
133,32
133,157
133,34
133,57
133,95
133,100
133,7
133,43
133,89
133,115
134,64
134,46
134,21
134,47
134,48
134,79
134,99
134,74
134,80
134,93
134,117
134,110
134,71
134,100
134,37
134,101
134,68
134,60
134,39
134,62
134,97
134,88
135,63
135,10
135,11
135,4
135,149
135,74
135,93
135,66
135,77
135,114
135,53
135,138
135,17
135,18
135,31
135,44
136,33
136,144
136,119
136,35
136,26
136,38
136,59
136,9
136,96
136,31
137,10
137,90
137,150
137,99
137,149
137,109
137,110
137,101
137,103
137,120
137,125
138,10
138,86
138,54
138,47
138,24
138,154
138,153
138,150
138,109
138,75
138,49
138,76
138,110
138,119
138,52
138,72
138,59
138,18
138,158
139,0
139,64
139,122
139,25
139,80
139,144
139,117
139,51
139,14
139,71
139,26
139,27
139,39
140,46
140,90
140,150
140,91
140,109
140,12
140,93
140,35
